lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_2815,Cp_V2_contig_16525,.,0.9507,2.4e-05
Cp_V2_contig_2815,Cp_V2_contig_40374,.,0.9504,2.5e-05
Cp_V2_contig_2815,Cp_V2_contig_13783,.,0.9496,2.7e-05
Cp_V2_contig_2815,Cp_V2_contig_10805,.,0.9494,2.7e-05
Cp_V2_contig_2815,Cp_V2_contig_17373,.,0.9493,2.7e-05
Cp_V2_contig_2815,Cp_V2_contig_3865,.,0.9492,2.7e-05
Cp_V2_contig_2815,Cp_V2_contig_7547,.,0.9489,2.8e-05
Cp_V2_contig_2815,Cp_V2_contig_14382,.,0.9483,2.9e-05
Cp_V2_contig_2815,Cp_V2_contig_30041,.,0.9482,3e-05
Cp_V2_contig_2815,Cp_V2_contig_20242,.,0.9471,3.2e-05
Cp_V2_contig_2815,Cp_V2_contig_9158,.,0.9428,4.4e-05
Cp_V2_contig_2815,Cp_V2_contig_40304,.,0.9425,4.5e-05
Cp_V2_contig_2815,Cp_V2_contig_12781,.,0.9416,4.7e-05
Cp_V2_contig_2815,Cp_V2_contig_1018,.,0.9405,5.1e-05
Cp_V2_contig_2815,Cp_V2_contig_2779,.,0.9402,5.2e-05
Cp_V2_contig_2815,Cp_V2_contig_13429,.,0.9396,5.4e-05
Cp_V2_contig_2815,Cp_V2_contig_12055,.,0.9366,6.6e-05
Cp_V2_contig_2815,Cp_V2_contig_44233,.,0.9363,6.7e-05
Cp_V2_contig_2815,Cp_V2_contig_2705,.,0.9361,6.7e-05
Cp_V2_contig_2815,Cp_V2_contig_10017,.,0.9356,7e-05
Cp_V2_contig_2815,Cp_V2_contig_46148,.,0.933,8.1e-05
Cp_V2_contig_2815,Cp_V2_contig_8565,.,0.9325,8.4e-05
Cp_V2_contig_2815,Cp_V2_contig_2303,.,0.932,8.6e-05
Cp_V2_contig_2815,Cp_V2_contig_2079,.,0.9313,8.9e-05
Cp_V2_contig_2815,Cp_V2_contig_27297,.,0.9305,9.4e-05
Cp_V2_contig_2815,Cp_V2_contig_29501,.,0.9305,9.4e-05
Cp_V2_contig_2815,Cp_V2_contig_3544,.,0.9305,9.4e-05
Cp_V2_contig_2815,Cp_V2_contig_12398,.,0.9275,0.00011
Cp_V2_contig_2815,Cp_V2_contig_58,.,0.9272,0.000113
Cp_V2_contig_2815,Cp_V2_contig_28730,.,0.9251,0.000126
Cp_V2_contig_2815,Cp_V2_contig_8615,.,0.925,0.000127
Cp_V2_contig_2815,Cp_V2_contig_7848,.,0.9245,0.00013
Cp_V2_contig_2815,Cp_V2_contig_9315,.,0.9244,0.00013
Cp_V2_contig_2815,Cp_V2_contig_13121,.,0.9228,0.000141
Cp_V2_contig_2815,Cp_V2_contig_714,.,0.9201,0.000162
Cp_V2_contig_2815,Cp_V2_contig_30668,.,0.9193,0.000168
Cp_V2_contig_2815,Cp_V2_contig_1533,.,0.919,0.00017
Cp_V2_contig_2815,Cp_V2_contig_22199,.,0.9171,0.000187
Cp_V2_contig_2815,Cp_V2_contig_24832,.,0.9164,0.000193
Cp_V2_contig_2815,Cp_V2_contig_8635,.,0.9159,0.000198
Cp_V2_contig_2815,Cp_V2_contig_26525,.,0.9154,0.000203
Cp_V2_contig_2815,Cp_V2_contig_10892,.,0.9145,0.000211
Cp_V2_contig_2815,Cp_V2_contig_6165,.,0.9144,0.000212
Cp_V2_contig_2815,Cp_V2_contig_21661,.,0.914,0.000215
Cp_V2_contig_2815,Cp_V2_contig_8206,.,0.9139,0.000217
Cp_V2_contig_2815,Cp_V2_contig_13526,.,0.9135,0.000221
Cp_V2_contig_2815,Cp_V2_contig_7475,.,0.9134,0.000222
Cp_V2_contig_2815,Cp_V2_contig_11289,.,0.9129,0.000227
Cp_V2_contig_2815,Cp_V2_contig_15769,.,0.9129,0.000226
Cp_V2_contig_2815,Cp_V2_contig_16108,.,0.9123,0.000232
Cp_V2_contig_2815,Cp_V2_contig_4693,.,0.9116,0.00024
Cp_V2_contig_2815,Cp_V2_contig_11988,.,0.9109,0.000247
Cp_V2_contig_2815,Cp_V2_contig_19622,.,0.9102,0.000254
Cp_V2_contig_2815,Cp_V2_contig_44940,.,0.9077,0.000283
Cp_V2_contig_2815,Cp_V2_contig_23992,.,0.9058,0.000306
Cp_V2_contig_2815,Cp_V2_contig_12804,.,0.9053,0.000314
Cp_V2_contig_2815,Cp_V2_contig_13584,.,0.9051,0.000317
Cp_V2_contig_2815,Cp_V2_contig_6815,.,0.9051,0.000316
Cp_V2_contig_2815,Cp_V2_contig_46398,.,0.9048,0.00032
Cp_V2_contig_2815,Cp_V2_contig_1799,.,0.9043,0.000327
Cp_V2_contig_2815,Cp_V2_contig_6745,.,0.9039,0.000331
Cp_V2_contig_2815,Cp_V2_contig_9545,.,0.9033,0.00034
Cp_V2_contig_2815,Cp_V2_contig_7243,.,0.9027,0.000349
Cp_V2_contig_2815,Cp_V2_contig_37850,.,0.9024,0.000352
Cp_V2_contig_2815,Cp_V2_contig_17170,.,0.9019,0.00036
Cp_V2_contig_2815,Cp_V2_contig_35736,.,0.9018,0.00036
Cp_V2_contig_2815,Cp_V2_contig_7312,.,0.9002,0.000383
Cp_V2_contig_3232,Cp_V2_contig_31695,.,0.9809,1e-06
Cp_V2_contig_3232,Cp_V2_contig_1607,.,0.9784,1e-06
Cp_V2_contig_3232,Cp_V2_contig_694,.,0.9643,7e-06
Cp_V2_contig_3232,Cp_V2_contig_2580,.,0.9625,8e-06
Cp_V2_contig_3232,Cp_V2_contig_5773,.,0.958,1.3e-05
Cp_V2_contig_3232,Cp_V2_contig_792,.,0.9493,2.7e-05
Cp_V2_contig_3232,Cp_V2_contig_10695,.,0.945,3.7e-05
Cp_V2_contig_3232,Cp_V2_contig_22369,.,0.9402,5.2e-05
Cp_V2_contig_3232,Cp_V2_contig_9335,.,0.9348,7.3e-05
Cp_V2_contig_3232,Cp_V2_contig_29178,.,0.9286,0.000104
Cp_V2_contig_3232,Cp_V2_contig_33507,.,0.9284,0.000106
Cp_V2_contig_3232,Cp_V2_contig_4595,.,0.9271,0.000113
Cp_V2_contig_3232,Cp_V2_contig_37659,.,0.9251,0.000126
Cp_V2_contig_3232,Cp_V2_contig_4325,.,0.9229,0.000141
Cp_V2_contig_3232,Cp_V2_contig_1042,.,0.9219,0.000148
Cp_V2_contig_3232,Cp_V2_contig_29028,.,0.9214,0.000152
Cp_V2_contig_3232,Cp_V2_contig_17692,.,0.9154,0.000202
Cp_V2_contig_3232,Cp_V2_contig_13481,.,0.9089,0.000269
Cp_V2_contig_3232,Cp_V2_contig_9364,.,0.9083,0.000276
Cp_V2_contig_3232,Cp_V2_contig_900,.,0.907,0.000292
Cp_V2_contig_3232,Cp_V2_contig_20023,.,0.9047,0.000321
Cp_V2_contig_3232,Cp_V2_contig_15027,.,0.9009,0.000374
Cp_V2_contig_3232,Cp_V2_contig_14864,.,0.9005,0.00038
Cp_V2_contig_43263,Cp_V2_contig_1856,.,0.9862,0.0
Cp_V2_contig_43263,Cp_V2_contig_3865,.,0.982,0.0
Cp_V2_contig_43263,Cp_V2_contig_1533,.,0.9648,6e-06
Cp_V2_contig_43263,Cp_V2_contig_1097,.,0.9588,1.2e-05
Cp_V2_contig_43263,Cp_V2_contig_13780,.,0.9574,1.4e-05
Cp_V2_contig_43263,Cp_V2_contig_58,.,0.9562,1.5e-05
Cp_V2_contig_43263,Cp_V2_contig_24162,.,0.9557,1.6e-05
Cp_V2_contig_43263,Cp_V2_contig_29767,.,0.955,1.7e-05
Cp_V2_contig_43263,Cp_V2_contig_17052,.,0.9444,3.9e-05
Cp_V2_contig_43263,Cp_V2_contig_24081,.,0.9403,5.2e-05
Cp_V2_contig_43263,Cp_V2_contig_3162,.,0.9391,5.6e-05
Cp_V2_contig_43263,Cp_V2_contig_2779,.,0.9376,6.2e-05
Cp_V2_contig_43263,Cp_V2_contig_15088,.,0.9346,7.4e-05
Cp_V2_contig_43263,Cp_V2_contig_5937,.,0.9344,7.5e-05
Cp_V2_contig_43263,Cp_V2_contig_23992,.,0.9337,7.8e-05
Cp_V2_contig_43263,Cp_V2_contig_17963,.,0.9287,0.000104
Cp_V2_contig_43263,Cp_V2_contig_13515,.,0.927,0.000114
Cp_V2_contig_43263,Cp_V2_contig_2705,.,0.9239,0.000134
Cp_V2_contig_43263,Cp_V2_contig_12810,.,0.9222,0.000146
Cp_V2_contig_43263,Cp_V2_contig_20199,.,0.9221,0.000147
Cp_V2_contig_43263,Cp_V2_contig_4915,.,0.9221,0.000147
Cp_V2_contig_43263,Cp_V2_contig_18010,.,0.9207,0.000157
Cp_V2_contig_43263,Cp_V2_contig_680,.,0.9201,0.000162
Cp_V2_contig_43263,Cp_V2_contig_13863,.,0.92,0.000162
Cp_V2_contig_43263,Cp_V2_contig_45503,.,0.9193,0.000168
Cp_V2_contig_43263,Cp_V2_contig_37850,.,0.9189,0.000172
Cp_V2_contig_43263,Cp_V2_contig_15015,.,0.9185,0.000175
Cp_V2_contig_43263,Cp_V2_contig_18370,.,0.9181,0.000178
Cp_V2_contig_43263,Cp_V2_contig_3083,.,0.9168,0.000189
Cp_V2_contig_43263,Cp_V2_contig_714,.,0.9162,0.000195
Cp_V2_contig_43263,Cp_V2_contig_16525,.,0.9145,0.00021
Cp_V2_contig_43263,Cp_V2_contig_17170,.,0.9137,0.000219
Cp_V2_contig_43263,Cp_V2_contig_4999,.,0.9129,0.000226
Cp_V2_contig_43263,Cp_V2_contig_17373,.,0.9121,0.000235
Cp_V2_contig_43263,Cp_V2_contig_2303,.,0.9119,0.000237
Cp_V2_contig_43263,Cp_V2_contig_13584,.,0.9118,0.000237
Cp_V2_contig_43263,Cp_V2_contig_21685,.,0.9101,0.000257
Cp_V2_contig_43263,Cp_V2_contig_33310,.,0.91,0.000257
Cp_V2_contig_43263,Cp_V2_contig_1845,.,0.9099,0.000258
Cp_V2_contig_43263,Cp_V2_contig_46183,.,0.9099,0.000258
Cp_V2_contig_43263,Cp_V2_contig_11797,.,0.9098,0.00026
Cp_V2_contig_43263,Cp_V2_contig_9158,.,0.909,0.000269
Cp_V2_contig_43263,Cp_V2_contig_11289,.,0.9087,0.000272
Cp_V2_contig_43263,Cp_V2_contig_18155,.,0.9083,0.000277
Cp_V2_contig_43263,Cp_V2_contig_9550,.,0.9074,0.000287
Cp_V2_contig_43263,Cp_V2_contig_11871,.,0.9067,0.000296
Cp_V2_contig_43263,Cp_V2_contig_27725,.,0.906,0.000304
Cp_V2_contig_43263,Cp_V2_contig_20242,.,0.9057,0.000308
Cp_V2_contig_43263,Cp_V2_contig_11007,.,0.9049,0.000319
Cp_V2_contig_43263,Cp_V2_contig_2326,.,0.9049,0.000318
Cp_V2_contig_43263,Cp_V2_contig_15556,.,0.9043,0.000326
Cp_V2_contig_43263,Cp_V2_contig_30041,.,0.9022,0.000355
Cp_V2_contig_43263,Cp_V2_contig_1900,.,0.901,0.000373
Cp_V2_contig_43263,Cp_V2_contig_29501,.,0.9003,0.000383
Cp_V2_contig_43263,Cp_V2_contig_10048,.,0.9001,0.000385
Cp_V2_contig_45133,Cp_V2_contig_6376,.,0.9943,0.0
Cp_V2_contig_45133,Cp_V2_contig_12810,.,0.9913,0.0
Cp_V2_contig_45133,Cp_V2_contig_3083,.,0.9889,0.0
Cp_V2_contig_45133,Cp_V2_contig_23992,.,0.9881,0.0
Cp_V2_contig_45133,Cp_V2_contig_25283,.,0.9864,0.0
Cp_V2_contig_45133,Cp_V2_contig_10726,.,0.9862,0.0
Cp_V2_contig_45133,Cp_V2_contig_1533,.,0.9819,0.0
Cp_V2_contig_45133,Cp_V2_contig_5597,.,0.9814,1e-06
Cp_V2_contig_45133,Cp_V2_contig_32420,.,0.9806,1e-06
Cp_V2_contig_45133,Cp_V2_contig_33310,.,0.9783,1e-06
Cp_V2_contig_45133,Cp_V2_contig_12179,.,0.9769,1e-06
Cp_V2_contig_45133,Cp_V2_contig_10048,.,0.976,1e-06
Cp_V2_contig_45133,Cp_V2_contig_38011,.,0.976,1e-06
Cp_V2_contig_45133,Cp_V2_contig_45899,.,0.9755,2e-06
Cp_V2_contig_45133,Cp_V2_contig_32418,.,0.9746,2e-06
Cp_V2_contig_45133,Cp_V2_contig_37548,.,0.9741,2e-06
Cp_V2_contig_45133,Cp_V2_contig_24960,.,0.972,3e-06
Cp_V2_contig_45133,Cp_V2_contig_9538,.,0.9714,3e-06
Cp_V2_contig_45133,Cp_V2_contig_11082,.,0.969,4e-06
Cp_V2_contig_45133,Cp_V2_contig_21685,.,0.969,4e-06
Cp_V2_contig_45133,Cp_V2_contig_38417,.,0.9684,4e-06
Cp_V2_contig_45133,Cp_V2_contig_6504,.,0.967,5e-06
Cp_V2_contig_45133,Cp_V2_contig_3837,.,0.9667,5e-06
Cp_V2_contig_45133,Cp_V2_contig_14207,.,0.9662,5e-06
Cp_V2_contig_45133,Cp_V2_contig_18155,.,0.9645,7e-06
Cp_V2_contig_45133,Cp_V2_contig_46902,.,0.9645,7e-06
Cp_V2_contig_45133,Cp_V2_contig_23383,.,0.9641,7e-06
Cp_V2_contig_45133,Cp_V2_contig_13780,.,0.9638,7e-06
Cp_V2_contig_45133,Cp_V2_contig_30886,.,0.9632,8e-06
Cp_V2_contig_45133,Cp_V2_contig_11007,.,0.9621,9e-06
Cp_V2_contig_45133,Cp_V2_contig_37809,.,0.9606,1e-05
Cp_V2_contig_45133,Cp_V2_contig_26647,.,0.9605,1e-05
Cp_V2_contig_45133,Cp_V2_contig_45465,.,0.9603,1e-05
Cp_V2_contig_45133,Cp_V2_contig_11871,.,0.9601,1.1e-05
Cp_V2_contig_45133,Cp_V2_contig_35060,.,0.9596,1.1e-05
Cp_V2_contig_45133,Cp_V2_contig_19606,.,0.958,1.3e-05
Cp_V2_contig_45133,Cp_V2_contig_31461,.,0.9579,1.3e-05
Cp_V2_contig_45133,Cp_V2_contig_3434,.,0.9578,1.3e-05
Cp_V2_contig_45133,Cp_V2_contig_19357,.,0.9568,1.4e-05
Cp_V2_contig_45133,Cp_V2_contig_10120,.,0.9552,1.7e-05
Cp_V2_contig_45133,Cp_V2_contig_58,.,0.9529,2e-05
Cp_V2_contig_45133,Cp_V2_contig_37850,.,0.9509,2.4e-05
Cp_V2_contig_45133,Cp_V2_contig_15088,.,0.9498,2.6e-05
Cp_V2_contig_45133,Cp_V2_contig_25880,.,0.9481,3e-05
Cp_V2_contig_45133,Cp_V2_contig_11289,.,0.9466,3.3e-05
Cp_V2_contig_45133,Cp_V2_contig_39651,.,0.9457,3.6e-05
Cp_V2_contig_45133,Cp_V2_contig_8544,.,0.9455,3.6e-05
Cp_V2_contig_45133,Cp_V2_contig_18571,.,0.9445,3.9e-05
Cp_V2_contig_45133,Cp_V2_contig_24162,.,0.9439,4.1e-05
Cp_V2_contig_45133,Cp_V2_contig_1991,.,0.9435,4.2e-05
Cp_V2_contig_45133,Cp_V2_contig_43647,.,0.9424,4.5e-05
Cp_V2_contig_45133,Cp_V2_contig_2128,.,0.9418,4.7e-05
Cp_V2_contig_45133,Cp_V2_contig_19327,.,0.9416,4.8e-05
Cp_V2_contig_45133,Cp_V2_contig_17170,.,0.9411,4.9e-05
Cp_V2_contig_45133,Cp_V2_contig_38638,.,0.9392,5.6e-05
Cp_V2_contig_45133,Cp_V2_contig_13584,.,0.9387,5.7e-05
Cp_V2_contig_45133,Cp_V2_contig_24081,.,0.9386,5.8e-05
Cp_V2_contig_45133,Cp_V2_contig_4245,.,0.9386,5.8e-05
Cp_V2_contig_45133,Cp_V2_contig_29767,.,0.9347,7.3e-05
Cp_V2_contig_45133,Cp_V2_contig_14662,.,0.9337,7.8e-05
Cp_V2_contig_45133,Cp_V2_contig_17052,.,0.9327,8.3e-05
Cp_V2_contig_45133,Cp_V2_contig_10968,.,0.9321,8.6e-05
Cp_V2_contig_45133,Cp_V2_contig_9280,.,0.9314,8.9e-05
Cp_V2_contig_45133,Cp_V2_contig_1299,.,0.9297,9.8e-05
Cp_V2_contig_45133,Cp_V2_contig_5942,.,0.928,0.000108
Cp_V2_contig_45133,Cp_V2_contig_8331,.,0.9262,0.000119
Cp_V2_contig_45133,Cp_V2_contig_19599,.,0.926,0.00012
Cp_V2_contig_45133,Cp_V2_contig_8470,.,0.9247,0.000128
Cp_V2_contig_45133,Cp_V2_contig_77,.,0.9238,0.000134
Cp_V2_contig_45133,Cp_V2_contig_26669,.,0.9234,0.000137
Cp_V2_contig_45133,Cp_V2_contig_1005,.,0.9224,0.000144
Cp_V2_contig_45133,Cp_V2_contig_3733,.,0.9219,0.000148
Cp_V2_contig_45133,Cp_V2_contig_38445,.,0.9203,0.00016
Cp_V2_contig_45133,Cp_V2_contig_4463,.,0.9191,0.00017
Cp_V2_contig_45133,Cp_V2_contig_5104,.,0.9183,0.000176
Cp_V2_contig_45133,Cp_V2_contig_14382,.,0.9175,0.000183
Cp_V2_contig_45133,Cp_V2_contig_28999,.,0.917,0.000188
Cp_V2_contig_45133,Cp_V2_contig_3865,.,0.9158,0.000198
Cp_V2_contig_45133,Cp_V2_contig_12880,.,0.9156,0.0002
Cp_V2_contig_45133,Cp_V2_contig_27725,.,0.9143,0.000213
Cp_V2_contig_45133,Cp_V2_contig_13362,.,0.9142,0.000213
Cp_V2_contig_45133,Cp_V2_contig_24396,.,0.9123,0.000233
Cp_V2_contig_45133,Cp_V2_contig_25909,.,0.9117,0.000239
Cp_V2_contig_45133,Cp_V2_contig_11798,.,0.9115,0.000241
Cp_V2_contig_45133,Cp_V2_contig_21675,.,0.9095,0.000263
Cp_V2_contig_45133,Cp_V2_contig_1856,.,0.909,0.000269
Cp_V2_contig_45133,Cp_V2_contig_2779,.,0.9088,0.000271
Cp_V2_contig_45133,Cp_V2_contig_20359,.,0.9087,0.000272
Cp_V2_contig_45133,Cp_V2_contig_21708,.,0.9084,0.000275
Cp_V2_contig_45133,Cp_V2_contig_7308,.,0.9081,0.000279
Cp_V2_contig_45133,Cp_V2_contig_43112,.,0.9062,0.000303
Cp_V2_contig_45133,Cp_V2_contig_16525,.,0.9056,0.000309
Cp_V2_contig_45133,Cp_V2_contig_2554,.,0.9056,0.00031
Cp_V2_contig_45133,Cp_V2_contig_18083,.,0.9054,0.000312
Cp_V2_contig_45133,Cp_V2_contig_25011,.,0.9041,0.000329
Cp_V2_contig_45133,Cp_V2_contig_19326,.,0.9025,0.00035
Cp_V2_contig_45133,Cp_V2_contig_2326,.,0.901,0.000373
Cp_V2_contig_45133,Cp_V2_contig_45503,.,0.9006,0.000378
Cp_V2_contig_45133,Cp_V2_contig_2978,.,0.9001,0.000386
Cp_V2_contig_47679,Cp_V2_contig_29767,.,0.978,1e-06
Cp_V2_contig_47679,Cp_V2_contig_10892,.,0.9745,2e-06
Cp_V2_contig_47679,Cp_V2_contig_14382,.,0.9734,2e-06
Cp_V2_contig_47679,Cp_V2_contig_31777,.,0.9715,3e-06
Cp_V2_contig_47679,Cp_V2_contig_28730,.,0.9711,3e-06
Cp_V2_contig_47679,Cp_V2_contig_26525,.,0.9704,3e-06
Cp_V2_contig_47679,Cp_V2_contig_24081,.,0.966,6e-06
Cp_V2_contig_47679,Cp_V2_contig_27725,.,0.9652,6e-06
Cp_V2_contig_47679,Cp_V2_contig_13783,.,0.9646,7e-06
Cp_V2_contig_47679,Cp_V2_contig_45503,.,0.9607,1e-05
Cp_V2_contig_47679,Cp_V2_contig_4693,.,0.9596,1.1e-05
Cp_V2_contig_47679,Cp_V2_contig_17052,.,0.9536,1.9e-05
Cp_V2_contig_47679,Cp_V2_contig_37850,.,0.952,2.2e-05
Cp_V2_contig_47679,Cp_V2_contig_14662,.,0.9517,2.2e-05
Cp_V2_contig_47679,Cp_V2_contig_13515,.,0.9508,2.4e-05
Cp_V2_contig_47679,Cp_V2_contig_8579,.,0.9469,3.3e-05
Cp_V2_contig_47679,Cp_V2_contig_2705,.,0.9462,3.4e-05
Cp_V2_contig_47679,Cp_V2_contig_45899,.,0.9459,3.5e-05
Cp_V2_contig_47679,Cp_V2_contig_19349,.,0.9451,3.7e-05
Cp_V2_contig_47679,Cp_V2_contig_20242,.,0.9442,4e-05
Cp_V2_contig_47679,Cp_V2_contig_12804,.,0.9436,4.1e-05
Cp_V2_contig_47679,Cp_V2_contig_3733,.,0.9431,4.3e-05
Cp_V2_contig_47679,Cp_V2_contig_13584,.,0.9427,4.4e-05
Cp_V2_contig_47679,Cp_V2_contig_13780,.,0.9424,4.5e-05
Cp_V2_contig_47679,Cp_V2_contig_2128,.,0.9404,5.1e-05
Cp_V2_contig_47679,Cp_V2_contig_22202,.,0.9399,5.3e-05
Cp_V2_contig_47679,Cp_V2_contig_46183,.,0.9396,5.4e-05
Cp_V2_contig_47679,Cp_V2_contig_5104,.,0.9395,5.5e-05
Cp_V2_contig_47679,Cp_V2_contig_7475,.,0.9371,6.4e-05
Cp_V2_contig_47679,Cp_V2_contig_26026,.,0.9362,6.7e-05
Cp_V2_contig_47679,Cp_V2_contig_46398,.,0.9354,7e-05
Cp_V2_contig_47679,Cp_V2_contig_30668,.,0.9352,7.1e-05
Cp_V2_contig_47679,Cp_V2_contig_21708,.,0.9351,7.2e-05
Cp_V2_contig_47679,Cp_V2_contig_33310,.,0.9341,7.6e-05
Cp_V2_contig_47679,Cp_V2_contig_15769,.,0.9334,7.9e-05
Cp_V2_contig_47679,Cp_V2_contig_17170,.,0.9321,8.6e-05
Cp_V2_contig_47679,Cp_V2_contig_3544,.,0.9311,9.1e-05
Cp_V2_contig_47679,Cp_V2_contig_25880,.,0.9309,9.2e-05
Cp_V2_contig_47679,Cp_V2_contig_23992,.,0.9298,9.7e-05
Cp_V2_contig_47679,Cp_V2_contig_36163,.,0.9286,0.000104
Cp_V2_contig_47679,Cp_V2_contig_11289,.,0.928,0.000108
Cp_V2_contig_47679,Cp_V2_contig_9550,.,0.9278,0.000109
Cp_V2_contig_47679,Cp_V2_contig_24162,.,0.9254,0.000124
Cp_V2_contig_47679,Cp_V2_contig_7739,.,0.9249,0.000127
Cp_V2_contig_47679,Cp_V2_contig_37429,.,0.924,0.000133
Cp_V2_contig_47679,Cp_V2_contig_38638,.,0.9238,0.000135
Cp_V2_contig_47679,Cp_V2_contig_19606,.,0.9235,0.000137
Cp_V2_contig_47679,Cp_V2_contig_34533,.,0.9213,0.000152
Cp_V2_contig_47679,Cp_V2_contig_16525,.,0.9209,0.000156
Cp_V2_contig_47679,Cp_V2_contig_7547,.,0.9205,0.000159
Cp_V2_contig_47679,Cp_V2_contig_18155,.,0.9199,0.000163
Cp_V2_contig_47679,Cp_V2_contig_58,.,0.9196,0.000166
Cp_V2_contig_47679,Cp_V2_contig_13121,.,0.9182,0.000178
Cp_V2_contig_47679,Cp_V2_contig_30041,.,0.9181,0.000178
Cp_V2_contig_47679,Cp_V2_contig_46907,.,0.9176,0.000183
Cp_V2_contig_47679,Cp_V2_contig_12781,.,0.9175,0.000183
Cp_V2_contig_47679,Cp_V2_contig_1856,.,0.9171,0.000187
Cp_V2_contig_47679,Cp_V2_contig_24396,.,0.9157,0.000199
Cp_V2_contig_47679,Cp_V2_contig_32420,.,0.9136,0.00022
Cp_V2_contig_47679,Cp_V2_contig_29501,.,0.9115,0.000241
Cp_V2_contig_47679,Cp_V2_contig_8615,.,0.9114,0.000242
Cp_V2_contig_47679,Cp_V2_contig_8635,.,0.9108,0.000249
Cp_V2_contig_47679,Cp_V2_contig_25283,.,0.9085,0.000274
Cp_V2_contig_47679,Cp_V2_contig_10120,.,0.9079,0.000281
Cp_V2_contig_47679,Cp_V2_contig_8331,.,0.9079,0.000281
Cp_V2_contig_47679,Cp_V2_contig_34674,.,0.9078,0.000283
Cp_V2_contig_47679,Cp_V2_contig_3865,.,0.9076,0.000285
Cp_V2_contig_47679,Cp_V2_contig_3837,.,0.9074,0.000288
Cp_V2_contig_47679,Cp_V2_contig_2326,.,0.9059,0.000306
Cp_V2_contig_47679,Cp_V2_contig_6165,.,0.9057,0.000308
Cp_V2_contig_47679,Cp_V2_contig_1097,.,0.9049,0.000318
Cp_V2_contig_47679,Cp_V2_contig_4915,.,0.9047,0.000321
Cp_V2_contig_47679,Cp_V2_contig_1533,.,0.9044,0.000325
Cp_V2_contig_47679,Cp_V2_contig_5634,.,0.9033,0.000339
Cp_V2_contig_47679,Cp_V2_contig_10048,.,0.9029,0.000346
Cp_V2_contig_47679,Cp_V2_contig_21661,.,0.9019,0.00036
Cp_V2_contig_47679,Cp_V2_contig_5393,.,0.9019,0.000359
Cp_V2_contig_47679,Cp_V2_contig_11007,.,0.9018,0.000361
Cp_V2_contig_47679,Cp_V2_contig_16079,.,0.9008,0.000375
Cp_V2_contig_47679,Cp_V2_contig_18010,.,0.9004,0.000382
Cp_V2_contig_47679,Cp_V2_contig_40374,.,0.9004,0.000381
Cp_V2_contig_4950,Cp_V2_contig_10455,.,0.9906,0.0
Cp_V2_contig_4950,Cp_V2_contig_13800,.,0.9828,0.0
Cp_V2_contig_4950,Cp_V2_contig_6438,.,0.9792,1e-06
Cp_V2_contig_4950,Cp_V2_contig_17427,.,0.975,2e-06
Cp_V2_contig_4950,Cp_V2_contig_1013,.,0.9743,2e-06
Cp_V2_contig_4950,Cp_V2_contig_1,.,0.9699,3e-06
Cp_V2_contig_4950,Cp_V2_contig_5559,.,0.969,4e-06
Cp_V2_contig_4950,Cp_V2_contig_9714,.,0.9622,9e-06
Cp_V2_contig_4950,Cp_V2_contig_3575,.,0.9589,1.2e-05
Cp_V2_contig_4950,Cp_V2_contig_735,.,0.9587,1.2e-05
Cp_V2_contig_4950,Cp_V2_contig_1105,.,0.9582,1.3e-05
Cp_V2_contig_4950,Cp_V2_contig_6333,.,0.9559,1.6e-05
Cp_V2_contig_4950,Cp_V2_contig_13121,.,0.9548,1.7e-05
Cp_V2_contig_4950,Cp_V2_contig_18237,.,0.9521,2.2e-05
Cp_V2_contig_4950,Cp_V2_contig_20690,.,0.9506,2.5e-05
Cp_V2_contig_4950,Cp_V2_contig_10000,.,0.9505,2.5e-05
Cp_V2_contig_4950,Cp_V2_contig_25937,.,0.9495,2.7e-05
Cp_V2_contig_4950,Cp_V2_contig_23819,.,0.9464,3.4e-05
Cp_V2_contig_4950,Cp_V2_contig_44182,.,0.944,4e-05
Cp_V2_contig_4950,Cp_V2_contig_7695,.,0.9424,4.5e-05
Cp_V2_contig_4950,Cp_V2_contig_28879,.,0.9421,4.6e-05
Cp_V2_contig_4950,Cp_V2_contig_1545,.,0.9417,4.7e-05
Cp_V2_contig_4950,Cp_V2_contig_6815,.,0.941,4.9e-05
Cp_V2_contig_4950,Cp_V2_contig_14994,.,0.9408,5e-05
Cp_V2_contig_4950,Cp_V2_contig_4505,.,0.9404,5.1e-05
Cp_V2_contig_4950,Cp_V2_contig_17406,.,0.9403,5.2e-05
Cp_V2_contig_4950,Cp_V2_contig_13560,.,0.9402,5.2e-05
Cp_V2_contig_4950,Cp_V2_contig_20231,.,0.9378,6.1e-05
Cp_V2_contig_4950,Cp_V2_contig_44940,.,0.9377,6.1e-05
Cp_V2_contig_4950,Cp_V2_contig_13481,.,0.9372,6.3e-05
Cp_V2_contig_4950,Cp_V2_contig_10805,.,0.937,6.4e-05
Cp_V2_contig_4950,Cp_V2_contig_21613,.,0.9366,6.5e-05
Cp_V2_contig_4950,Cp_V2_contig_11243,.,0.9359,6.8e-05
Cp_V2_contig_4950,Cp_V2_contig_19588,.,0.9359,6.8e-05
Cp_V2_contig_4950,Cp_V2_contig_24832,.,0.9358,6.9e-05
Cp_V2_contig_4950,Cp_V2_contig_46148,.,0.9355,7e-05
Cp_V2_contig_4950,Cp_V2_contig_1982,.,0.9353,7.1e-05
