lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_12238,Cp_V2_contig_10790,.,0.9457,3.5e-05
Cp_V2_contig_12238,Cp_V2_contig_267,.,0.9456,3.6e-05
Cp_V2_contig_12238,Cp_V2_contig_16108,.,0.9454,3.6e-05
Cp_V2_contig_12238,Cp_V2_contig_13560,.,0.9445,3.9e-05
Cp_V2_contig_12238,Cp_V2_contig_1982,.,0.9442,4e-05
Cp_V2_contig_12238,Cp_V2_contig_44940,.,0.9442,4e-05
Cp_V2_contig_12238,Cp_V2_contig_5553,.,0.944,4e-05
Cp_V2_contig_12238,Cp_V2_contig_8565,.,0.9431,4.3e-05
Cp_V2_contig_12238,Cp_V2_contig_2918,.,0.9426,4.4e-05
Cp_V2_contig_12238,Cp_V2_contig_672,.,0.9416,4.8e-05
Cp_V2_contig_12238,Cp_V2_contig_19921,.,0.9415,4.8e-05
Cp_V2_contig_12238,Cp_V2_contig_3210,.,0.9411,4.9e-05
Cp_V2_contig_12238,Cp_V2_contig_7848,.,0.9403,5.2e-05
Cp_V2_contig_12238,Cp_V2_contig_1000,.,0.9402,5.2e-05
Cp_V2_contig_12238,Cp_V2_contig_5205,.,0.9394,5.5e-05
Cp_V2_contig_12238,Cp_V2_contig_1243,.,0.9391,5.6e-05
Cp_V2_contig_12238,Cp_V2_contig_8206,.,0.9391,5.6e-05
Cp_V2_contig_12238,Cp_V2_contig_1461,.,0.9384,5.8e-05
Cp_V2_contig_12238,Cp_V2_contig_5282,.,0.9383,5.9e-05
Cp_V2_contig_12238,Cp_V2_contig_12055,.,0.938,6e-05
Cp_V2_contig_12238,Cp_V2_contig_22671,.,0.9376,6.2e-05
Cp_V2_contig_12238,Cp_V2_contig_6815,.,0.9372,6.3e-05
Cp_V2_contig_12238,Cp_V2_contig_6459,.,0.937,6.4e-05
Cp_V2_contig_12238,Cp_V2_contig_2437,.,0.9369,6.4e-05
Cp_V2_contig_12238,Cp_V2_contig_21131,.,0.9368,6.5e-05
Cp_V2_contig_12238,Cp_V2_contig_19588,.,0.9367,6.5e-05
Cp_V2_contig_12238,Cp_V2_contig_7346,.,0.9367,6.5e-05
Cp_V2_contig_12238,Cp_V2_contig_1119,.,0.9366,6.5e-05
Cp_V2_contig_12238,Cp_V2_contig_20939,.,0.936,6.8e-05
Cp_V2_contig_12238,Cp_V2_contig_46939,.,0.936,6.8e-05
Cp_V2_contig_12238,Cp_V2_contig_23819,.,0.9356,7e-05
Cp_V2_contig_12238,Cp_V2_contig_29662,.,0.9353,7.1e-05
Cp_V2_contig_12238,Cp_V2_contig_7799,.,0.9348,7.3e-05
Cp_V2_contig_12238,Cp_V2_contig_27498,.,0.9346,7.4e-05
Cp_V2_contig_12238,Cp_V2_contig_26277,.,0.9344,7.5e-05
Cp_V2_contig_12238,Cp_V2_contig_22067,.,0.9343,7.5e-05
Cp_V2_contig_12238,Cp_V2_contig_23261,.,0.9342,7.6e-05
Cp_V2_contig_12238,Cp_V2_contig_4505,.,0.9339,7.7e-05
Cp_V2_contig_12238,Cp_V2_contig_9545,.,0.9337,7.8e-05
Cp_V2_contig_12238,Cp_V2_contig_2780,.,0.9335,7.9e-05
Cp_V2_contig_12238,Cp_V2_contig_14994,.,0.9316,8.8e-05
Cp_V2_contig_12238,Cp_V2_contig_3614,.,0.9313,9e-05
Cp_V2_contig_12238,Cp_V2_contig_32562,.,0.9311,9.1e-05
Cp_V2_contig_12238,Cp_V2_contig_13800,.,0.931,9.1e-05
Cp_V2_contig_12238,Cp_V2_contig_8612,.,0.9307,9.3e-05
Cp_V2_contig_12238,Cp_V2_contig_18237,.,0.9299,9.7e-05
Cp_V2_contig_12238,Cp_V2_contig_43831,.,0.9299,9.7e-05
Cp_V2_contig_12238,Cp_V2_contig_12850,.,0.9295,9.9e-05
Cp_V2_contig_12238,Cp_V2_contig_22199,.,0.9295,9.9e-05
Cp_V2_contig_12238,Cp_V2_contig_29277,.,0.9294,0.0001
Cp_V2_contig_12238,Cp_V2_contig_735,.,0.929,0.000102
Cp_V2_contig_12238,Cp_V2_contig_18250,.,0.9287,0.000103
Cp_V2_contig_12238,Cp_V2_contig_7071,.,0.9285,0.000105
Cp_V2_contig_12238,Cp_V2_contig_1681,.,0.9284,0.000105
Cp_V2_contig_12238,Cp_V2_contig_24832,.,0.9283,0.000106
Cp_V2_contig_12238,Cp_V2_contig_35331,.,0.9278,0.000109
Cp_V2_contig_12238,Cp_V2_contig_792,.,0.9272,0.000112
Cp_V2_contig_12238,Cp_V2_contig_21546,.,0.9269,0.000114
Cp_V2_contig_12238,Cp_V2_contig_4595,.,0.9266,0.000116
Cp_V2_contig_12238,Cp_V2_contig_6333,.,0.9265,0.000116
Cp_V2_contig_12238,Cp_V2_contig_5810,.,0.9257,0.000122
Cp_V2_contig_12238,Cp_V2_contig_6533,.,0.9254,0.000123
Cp_V2_contig_12238,Cp_V2_contig_29178,.,0.925,0.000126
Cp_V2_contig_12238,Cp_V2_contig_13382,.,0.9246,0.000129
Cp_V2_contig_12238,Cp_V2_contig_10000,.,0.9245,0.00013
Cp_V2_contig_12238,Cp_V2_contig_33906,.,0.9244,0.00013
Cp_V2_contig_12238,Cp_V2_contig_339,.,0.9243,0.000131
Cp_V2_contig_12238,Cp_V2_contig_44233,.,0.9243,0.000131
Cp_V2_contig_12238,Cp_V2_contig_27371,.,0.9241,0.000133
Cp_V2_contig_12238,Cp_V2_contig_10201,.,0.9237,0.000135
Cp_V2_contig_12238,Cp_V2_contig_4258,.,0.9236,0.000136
Cp_V2_contig_12238,Cp_V2_contig_17626,.,0.9234,0.000137
Cp_V2_contig_12238,Cp_V2_contig_17335,.,0.923,0.00014
Cp_V2_contig_12238,Cp_V2_contig_7988,.,0.9227,0.000142
Cp_V2_contig_12238,Cp_V2_contig_45499,.,0.9226,0.000143
Cp_V2_contig_12238,Cp_V2_contig_3066,.,0.9224,0.000144
Cp_V2_contig_12238,Cp_V2_contig_17218,.,0.9222,0.000146
Cp_V2_contig_12238,Cp_V2_contig_13938,.,0.9221,0.000147
Cp_V2_contig_12238,Cp_V2_contig_30310,.,0.9218,0.000149
Cp_V2_contig_12238,Cp_V2_contig_12024,.,0.9217,0.00015
Cp_V2_contig_12238,Cp_V2_contig_2070,.,0.9211,0.000154
Cp_V2_contig_12238,Cp_V2_contig_2079,.,0.9209,0.000155
Cp_V2_contig_12238,Cp_V2_contig_26352,.,0.9207,0.000157
