Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.12251,0.0,1.202109,0.813051,2.317371,0.0,6.368894,0.0,0.0,0.770414
MSTRG.12252,2.276236,5.103172,0.0,4.691711,0.0,1.820976,0.0,1.569088,1.749086
MSTRG.12254,7.265337,1.390731,17.815182,2.530021,5.593073,4.450997,13.804801,3.175039,5.464072
MSTRG.12255,1.85459,0.0,1.731215,1.791555,2.985735,2.519719,12.537767,1.328954,1.649715
MSTRG.12256,609.252686,669.112366,614.215576,1383.559692,1448.904663,1353.428467,887.597168,991.700134,1178.167603
MSTRG.12257,38.69104,41.066368,35.903603,91.255455,105.382019,71.188354,36.768009,62.957336,65.455284
MSTRG.12258,25.992332,25.818016,14.60382,18.509426,13.530506,20.992014,53.376003,9.887221,20.629484
MSTRG.12260,27.833759,82.37751,81.87709,5.155744,12.912766,10.209254,104.611206,10.876528,24.686876
MSTRG.12261,18.197657,23.546255,18.321938,1.913651,3.375713,4.189091,39.026642,9.661338,22.012388
MSTRG.12259,1743.792969,1983.486816,1792.910156,1457.425293,1293.952881,985.538025,1527.065796,2012.284668,1256.463379
MSTRG.12262,242.9487,138.490143,396.381744,218.531967,221.121307,333.834259,1058.459473,195.576004,215.736206
MSTRG.12263,40.966351,29.534498,76.940483,45.356094,40.328499,61.215366,141.024521,28.846476,36.943348
MSTRG.12264,6.807621,2.201991,3.867295,0.0,1.262258,0.0,0.0,4.175558,3.212654
MSTRG.12265,46.570557,43.755016,41.882065,199.951431,122.650406,163.382706,84.726044,66.561348,83.702263
MSTRG.12266,87.278885,74.778252,87.749992,176.322876,142.28215,139.976303,79.130409,135.923767,108.759285
MSTRG.12267,10.982416,7.956313,5.184737,13.410275,11.495346,9.458976,6.715739,10.400454,6.641206
MSTRG.12268,0.0,0.0,6.906163,3.826235,4.825723,0.0,30.305124,1.275769,0.0
MSTRG.12269,24.368578,22.107365,18.206213,55.34119,47.385292,38.537708,25.032431,49.311737,50.052357
MSTRG.12270,1.419193,3.362487,1.479711,3.632893,4.046926,3.31678,3.603996,4.54977,2.847128
MSTRG.12273,3.128814,7.315205,2.711066,0.0,0.0,0.0,0.0,0.0,0.0
MSTRG.12275,8.498129,0.0,0.708346,7.846808,1.40637,0.0,4.099332,0.0,0.0
MSTRG.12271,32.237144,32.27047,24.649137,74.420227,60.310917,50.445419,41.323402,67.040413,67.111649
MSTRG.12278,28.73292,35.773487,32.076649,15.772693,14.658411,18.97753,55.216209,23.092897,25.900349
