gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_18356,2.967,18.686,53.902,2.615,0.31842647275483305,0.0,5.933,72.424,0.0,0.0,9.591,11.416,44.131,62.432,55.144,0.7818663273930058
Cp_V2_contig_18359,0.0,13.162,11.814,7.0512,0.04706924990383754,0.0,0.0,10.439,11.871,0.0,14.644,28.858,0.0,0.0,35.443,0.7818663273930058
Cp_V2_contig_1836,118.502,282.652,310.834,1.2534,0.397464325293055,0.0,237.003,295.857,263.02,271.432,284.693,298.255,236.735,320.549,375.218,0.8123391631348985
Cp_V2_contig_18361,0.0,0.0,3.937,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.812,0.0,0.0,1.0
Cp_V2_contig_18364,63.661,122.06,31.444,0.938,0.5863759177002438,0.0,127.321,0.0,0.0,0.0,278.746,331.553,94.333,0.0,0.0,0.9183181427807923
Cp_V2_contig_18367,0.0,0.509,8.893,2.6058,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,2.544,0.0,19.687,6.992,0.0,0.7818663273930058
Cp_V2_contig_18371,0.0,5.269,2.442,5.7467,0.37390096630005887,0.0,0.0,0.0,0.0,26.347,0.0,0.0,0.0,0.0,7.326,0.7818663273930058
Cp_V2_contig_18372,4.49,0.0,0.0,-5.5204,0.5000000000000001,0.0,8.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811143061996468
Cp_V2_contig_18374,12.027,5.535,0.0,-1.1056,0.6850309668832908,0.0,24.053,5.437,0.0,0.0,2.578,19.662,0.0,0.0,0.0,0.950490655894484
Cp_V2_contig_18378,23.211,39.919,38.682,0.7797,0.6003037615145974,0.0,46.423,35.741,29.628,65.571,47.884,20.772,11.976,68.725,35.344,0.922607719061416
