Gene ID,Gene Name,cp_hyd_r1,cp_hyd_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3
Cp_V2_contig_17032,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17033,.,0.0,155.703903,95.645401,190.591446,228.793686,186.315521,329.928131,320.737549,259.461639,342.335419
Cp_V2_contig_17034,.,0.0,0.0,24.116421,13.585135,0.0,4.784757,0.0,10.335441,7.6656,0.0
Cp_V2_contig_17035,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17036,.,0.0,88.435326,70.708687,100.589935,58.708202,45.455189,131.101379,104.540443,204.324326,132.874985
Cp_V2_contig_17037,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17038,.,0.0,163.24054,26.413223,219.95932,74.053513,122.736259,93.494354,131.988663,140.868286,169.819931
Cp_V2_contig_17039,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1704,.,0.0,357.830322,23.460192,0.0,0.0,0.0,0.0,0.0,29.562403,70.084419
Cp_V2_contig_17040,.,0.0,124.194305,0.0,151.933746,63.460297,135.133133,94.50811,179.091171,255.267899,150.95105
Cp_V2_contig_17041,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.574988,0.0
Cp_V2_contig_17042,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17043,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17044,.,0.0,17.318251,0.0,0.0,7.227148,0.0,0.0,0.0,2.578116,0.0
Cp_V2_contig_17045,.,0.0,29.585344,36.748833,0.0,21.879448,0.0,11.772636,0.0,98.518425,28.541164
